ID,Category,Question,Choice1,Choice2,Choice3,Choice4,Explanation
454,タックスプランニング,NISA（少額投資非課税制度）の一般的な特徴として正しいのはどれ？,一定の投資枠内で得た配当や譲渡益が非課税となる制度,投資で損失が出た場合は必ず国が補填する制度,どの金融商品でも無制限に非課税で運用できる制度,投資元本が保証される制度,NISAは「投資から得た利益に税金がかからない」ことを目的とする制度で、非課税の対象は配当（分配金）や譲渡益などの運用益。非課税には制度上の投資枠や対象商品などのルールがあり、無制限ではない。また、損失補填や元本保証の仕組みではないため、非課税＝安全ではない点を押さえることが重要。
455,不動産,宅地建物取引業者が売主となる売買契約で、買主を保護するために定められることが多い制度はどれ？,手付金等の保全措置（手付金等保全）,借地借家法,不動産取得税,固定資産税,宅建業者が売主の取引では、買主が支払った手付金や中間金が引渡し前に返ってこないリスクが生じ得るため、一定の場合に手付金等の保全措置が求められる。これは「業者が倒産したらどうするか」という信用リスクへの備えであり、税金（不動産取得税・固定資産税）や賃貸のルール（借地借家法）とは目的が異なる。取引当事者とリスクの所在を意識すると整理しやすい。
456,相続,相続放棄の一般的な効果として正しいのはどれ？,初めから相続人でなかったものとして扱われる,相続財産のうち借金だけを放棄できる,相続放棄をしても遺産分割協議には必ず参加しなければならない,相続放棄をすると必ず遺言も無効になる,相続放棄は「相続する権利を一切受けない」選択で、初めから相続人でなかったものとして扱われるのがポイント。よってプラスの財産だけでなく借金などのマイナス財産も引き継がない一方、「借金だけ放棄して財産はもらう」といった都合のよい部分放棄はできない。相続人として扱われないため、原則として遺産分割協議の当事者からも外れる。
457,ライフプランニング,老齢基礎年金の受給資格期間として正しいのはどれ？,原則として受給資格期間が10年以上必要,原則として受給資格期間が5年以上必要,原則として受給資格期間が20年以上必要,原則として受給資格期間が25年以上必要,老齢基礎年金は、保険料納付済期間や免除期間、合算対象期間などを合計した受給資格期間が原則10年以上で受給権が発生する。重要なのは「加入していた年数」だけでなく、制度上カウントされる期間の合計で判定する点。受給資格期間と、年金額を増やすための納付期間（満額の基準）を混同しないことが得点上の分かれ目になる。
458,リスク管理,自動車保険の対人賠償保険の主な補償対象として適切なのはどれ？,事故で他人を死傷させたことによる損害賠償責任,自分の車の修理費用,自分自身のケガの治療費,車両盗難による自分の損害,対人賠償保険は「相手の身体」に対する賠償責任を補償する。自分の車の損害は車両保険、自分のケガは人身傷害保険などが主に対応する領域で、補償の向き先（他人か自分か、物か身体か）で整理すると間違えにくい。自賠責だけではカバーが不十分になり得る領域を任意保険で補うという全体像で理解すると実務的にも有用。
459,金融資産運用,「複利」の効果を最も適切に表したものはどれ？,利息が元本に組み入れられ、その元本に対して次の利息も計算されることで増え方が加速する,利息は毎回必ず同じ金額で増え続ける,元本だけが増えて利息は一切増えない,複利はインフレ率のことを指す,複利は「利息にも利息が付く」仕組みで、利息が元本に組み入れられた後、その増えた元本に対して次回以降の利息が計算されるため、時間の経過とともに増え方が大きくなりやすい。単利が「元本にだけ利息が付く」のに対し、複利は運用期間が長いほど差が拡大しやすい。長期運用の議論で複利が頻出する理由は、この時間効果にある。
460,タックスプランニング,給与所得控除の説明として正しいのはどれ？,給与収入に応じて一定額（または一定率）を必要経費のように差し引く仕組み,領収書を集めた実費を全額差し引ける仕組み,事業所得者だけが使える控除である,住民税だけに適用され所得税には適用されない,給与所得者は原則として実額経費を幅広く計上できない代わりに、給与収入に応じた給与所得控除が「みなし経費」として設けられている。領収書で実費を全額控除する制度ではなく、収入額から自動計算される点が特徴。所得税・住民税の計算上、課税所得を求める過程で用いられるため、税目や所得区分（給与所得か事業所得か）を意識して位置づけることが重要。
461,ライフプランニング,国民年金の第1号被保険者に該当するのは一般にどれ？,自営業者や学生など（第2号・第3号以外の人）,会社員,会社員に扶養されている配偶者（20歳以上60歳未満）,65歳以上のすべての人,国民年金の被保険者は大きく第1号（自営業者・学生・無職など）、第2号（厚生年金の被保険者＝会社員・公務員等）、第3号（第2号に扶養される配偶者）に区分される。設問では「会社員」「扶養配偶者」はそれぞれ第2号・第3号に明確に対応するため、第1号はそれ以外の層（自営業者や学生など）と判断する。年齢要件（原則20～60歳）も絡むため、「65歳以上のすべて」という断定は誤りになりやすい。
462,リスク管理,火災保険で補償対象となりやすい事故として適切なのはどれ？,火災による建物・家財の損害,地震による建物倒壊のみ,自動車事故による相手のケガ,病気による入院費用,火災保険は主に火災・落雷・破裂爆発など（契約内容により風災・水災等も）による建物や家財の損害を補償する。地震は一般に火災保険だけでは補償されず、地震保険の付帯が論点になる。自動車事故の対人賠償は自動車保険、入院費は医療保険等の領域であり、補償の対象（目的）を切り分けると混同しにくい。
463,金融資産運用,株式投資の「配当利回り」の一般的な計算として正しいのはどれ？,1株当たり配当金÷株価,株価÷1株当たり配当金,1株当たり配当金×株価,株価の前年差÷株価,配当利回りは、投資額（株価）に対して年間配当がどれくらい見込めるかを示す指標で、基本は「配当÷株価」で求める。分子と分母を逆にすると値が極端に大きくなるため、指標の意味（投資額に対するリターン割合）から式を確認する癖が重要。なお、実務では税引前/税引後、予想配当/実績配当など条件で数値が変わるため、前提を揃えて比較する。
464,タックスプランニング,住民税の課税主体として一般に正しいのはどれ？,都道府県民税と市町村民税（地方公共団体）,国税庁,厚生労働省,日本銀行,住民税は地方税で、課税主体は都道府県と市町村（特別区を含む）で構成される。所得税が国税（国税庁・税務署）であるのに対し、住民税は自治体が賦課・徴収するため、納付先や徴収方法（特別徴収・普通徴収）の話題と結びつく。税の種類（国税か地方税か）を最初に整理すると、制度全体の位置づけが明確になる。
465,不動産,固定金利型住宅ローンの特徴として適切なのはどれ？,返済期間中の適用金利が原則として一定で返済額の見通しが立てやすい,市場金利が下がると自動的に金利が下がる,借入当初の数年間だけ金利が固定される,金利上昇局面では返済額が必ず減る,固定金利型は、契約時に定めた金利が原則として返済期間中変わらないため、返済額が安定し家計管理がしやすい。一方で市場金利が低下しても契約金利は基本的に下がらないため、金利低下メリットは受けにくい。数年間だけ固定されるのは固定金利期間選択型であり、金利タイプの名称とリスク（将来変動）を対応づけて理解するのがポイント。
466,相続,遺産分割協議に参加できる人として一般に正しいのはどれ？,相続人全員（原則）,受遺者全員,被相続人の友人,相続財産の債権者,遺産分割協議は、相続財産を誰が何を取得するかを決める手続で、原則として相続人全員の参加と合意が必要になる（欠けると無効となるリスクが高い）。受遺者は遺言で特定財産を受け取る立場であり、相続人とは区別される。債権者や友人は当事者ではないため参加できない。誰が「相続の当事者」かを押さえると、遺産分割の有効性判断がしやすい。
467,ライフプランニング,年金の「繰上げ受給」の一般的な影響として正しいのはどれ？,受給開始を早める代わりに年金額が原則として減額され、その減額率は生涯続く,受給開始を早めると年金額が増額される,繰上げ受給をしても年金額は変わらない,繰上げ受給の減額は65歳到達時点で元に戻る,繰上げ受給は、原則として受給開始年齢を早められる一方、1か月繰り上げるごとに一定率で年金額が減額され、その減額は生涯続くのが基本。短期的な資金需要には有効だが、長寿リスク（長く生きるほど総受給額が不利になり得る）と表裏一体である。制度の選択は「いつから」「いくら」「どれくらいの期間受け取るか」という時間軸で考えることが重要。
468,リスク管理,傷害保険（普通傷害保険など）の補償対象として一般に適切なのはどれ？,急激かつ偶然な外来の事故によるケガ,病気が原因の入院,地震による家屋の損壊,失業による収入減少,傷害保険は「急激・偶然・外来」という事故要件を満たすケガを対象とするのが基本で、病気による入院は医療保険の領域になる。外来性がポイントで、体内の疾病起因は原則対象外。補償対象（ケガか病気か、物損か所得減か）を先に分類すると、保険種目の選択や設計が合理的になる。
469,金融資産運用,債券価格と市場金利の一般的な関係として正しいのはどれ？,市場金利が上昇すると既発債券価格は下落しやすい,市場金利が上昇すると既発債券価格も上昇しやすい,市場金利と債券価格は常に無関係である,市場金利が変動しても債券価格は必ず一定である,既に発行されている債券（既発債）は、クーポン（利率）が固定のため、市場金利が上がると相対的に魅力が下がり、価格が下落して利回りが市場水準に近づく方向に調整される。逆に市場金利が下がると既発債のクーポンが相対的に有利になり価格が上がりやすい。この逆相関は債券の基本構造で、金利リスク（価格変動）を理解する核心となる。
470,タックスプランニング,所得控除と税額控除の違いとして正しいのはどれ？,所得控除は課税所得を減らし、税額控除は算出税額から直接差し引く,所得控除は算出税額から直接差し引き、税額控除は課税所得を減らす,どちらも同じ意味で区別はない,税額控除は住民税だけに適用される,所得控除は「所得から控除して課税所得を小さくする」仕組みで、税率を掛ける前の土台を減らす。一方、税額控除は計算された税額そのものから直接差し引くため、同じ金額なら一般に税額控除の方が効果が分かりやすい。設問で混同しやすいが、どの段階で差し引かれるか（所得段階か税額段階か）を意識すると確実に判別できる。
471,相続,相続放棄ができる期間として一般に正しいのはどれ？,自己のために相続の開始があったことを知った時から3か月以内,被相続人の死亡日から必ず1年以内,遺産分割協議が終わるまでいつでも可能,相続税の申告期限までなら可能,相続放棄は原則として自己のために相続の開始があったことを知った時から3か月以内に行う必要がある。この期間は熟慮期間と呼ばれ相続財産と債務を調査し相続するか放棄するかを判断するために設けられている。死亡日からの起算ではなく知った時から起算である点がひっかけになりやすい。遺産分割や相続税申告の期限とは別の制度であり混同しないことが重要。
472,不動産,不動産登記のうち所有者の氏名や住所などを記録する一般的な部分はどれ？,権利部の甲区,権利部の乙区,表題部,日本銀行当座預金口座,登記簿は大きく表題部と権利部に分かれ権利部は甲区と乙区で構成される。甲区には所有権に関する事項が記録され所有者の氏名住所や所有権移転の履歴などが載る。乙区は抵当権など所有権以外の権利が中心である。表題部は所在地や地積など物理的な表示に関する情報であり人物情報とは役割が異なる。
473,リスク管理,生命保険の保険料払込免除特約で免除の対象になりやすいのはどれ？,所定の高度障害状態など所定の条件に該当した場合の以後の保険料,契約者が引っ越した場合の保険料,契約者の収入が減った場合の保険料,保険会社の業績が悪化した場合の保険料,保険料払込免除特約は一定の事故や状態に該当したとき以後の保険料の払込みが不要になる仕組みで保障は継続するという考え方である。代表例として所定の高度障害状態や重い疾病状態などが条件になりやすい。単なる生活環境の変化や収入減は一般に免除条件ではなく家計リスクの対処は保険設計や見直しで行う。制度の趣旨は重大事由発生後も保障を途切れさせない点にある。
474,金融資産運用,投資信託の信託報酬として一般に正しい説明はどれ？,運用管理等の対価として信託財産から日々差し引かれる費用,購入時にだけかかり以後は発生しない費用,解約時に必ず一律でかかる税金,株式の配当金のこと,信託報酬は投資信託の運用管理や事務を行うための費用で信託財産から継続的に差し引かれるため保有期間が長いほど影響が積み上がる。購入時のみの費用は販売手数料であることが多く解約時の費用は信託財産留保額が論点になる。税金や配当金とは性質が異なり費用構造として理解することが重要。コストは運用成果に直結するため比較時は信託報酬の水準を確認する。
475,タックスプランニング,年末調整で一般に行われないものはどれ？,医療費控除の適用,扶養控除の適用,生命保険料控除の適用,地震保険料控除の適用,年末調整は給与所得者について勤務先が所得税の精算を行う手続で扶養控除や生命保険料控除など所定の所得控除を反映できる。一方で医療費控除は本人が医療費の集計を行い確定申告で適用するのが原則で年末調整だけでは完結しない。どの控除が会社で処理できるかは申告書類の提出で足りるか個別計算が必要かで整理すると覚えやすい。医療費控除は明細作成など本人作業が中心となるため確定申告の代表例として扱われる。
476,ライフプランニング,厚生年金保険料の一般的な負担の仕組みとして正しいのはどれ？,労使折半で事業主と被保険者が半分ずつ負担する,全額を被保険者が負担する,全額を事業主が負担する,国民年金の定額保険料と同じ仕組みである,厚生年金保険料は原則として労使折半で事業主と被保険者が同じ割合で負担するため給与明細には本人負担分が控除として表示される。国民年金は定額保険料であり計算方法が異なる。公的年金の制度は加入区分ごとに保険料の決まり方と負担者が違うため仕組みを対比して覚えると混乱が減る。労使折半は社会保険の基本として頻出である。
477,相続,配偶者と子2人が相続人の場合の配偶者の法定相続分として一般に正しいのはどれ？,2分の1,3分の2,4分の3,全額,法定相続分は相続人の組合せで定められ配偶者と子が相続人のとき配偶者は2分の1で子全体が残り2分の1を分け合う。子が2人なら各子は4分の1ずつとなる。ここで重要なのは配偶者が常に一定割合を持つわけではなく相続人が直系尊属か兄弟姉妹かで配偶者割合が変わる点である。設問は子がいる典型形であり2分の1を基準として即答できるようにする。
478,不動産,建物の賃貸借で借主の地位を手厚く保護する法律として一般に正しいのはどれ？,借地借家法,民法の不法行為,会社法,金融商品取引法,建物の賃貸借や借地に関する重要なルールは借地借家法が中心となり契約更新や正当事由など借主を保護する仕組みが用意されている。民法にも賃貸借の規定はあるが借地借家法は特別法として優先して適用される場面が多い。会社法や金融商品取引法は不動産賃貸借の保護とは直接関係しない。どの法律がどの取引領域を規律するかを把握すると問題の切り分けが容易になる。
479,リスク管理,自動車保険の対人賠償保険で一般に補償される内容として正しいのはどれ？,事故で他人を死傷させた場合の損害賠償責任による賠償,自分の車の修理費用,自分のケガの治療費だけ,自分の車の盗難による損害,対人賠償保険は自動車事故により他人を死傷させ法律上の損害賠償責任を負った場合にその賠償を補償する。自分の車の修理は車両保険が論点であり自分のケガは人身傷害保険や搭乗者傷害保険が中心となる。盗難も車両保険の対象として扱われることが多い。自動車保険は補償対象が他人か自分か物か身体かで商品が分かれるためまず対象を分類して選ぶのが基本である。
480,金融資産運用,外貨預金の一般的なリスクとして適切なのはどれ？,為替変動により円換算の元本が増減する為替リスク,為替変動があっても円換算元本は常に一定,預入期間中は必ず円金利と同じ利息になる,外貨預金には手数料が一切かからない,外貨預金は外貨建てで資産を保有するため円に換算した元本や利息の価値は為替レートの変動に左右される。円高になると円換算では元本割れになり得る一方で円安なら円換算が増えることもある。さらに預入や払戻しの際に為替手数料が発生し実質的なコストとなる点も重要である。金利だけで判断すると為替と手数料で想定と異なる結果になりやすいため総合的にリスクとコストを確認する必要がある。
481,タックスプランニング,給与所得控除の考え方として正しいのはどれ？,給与収入に応じて自動的に一定額が差し引かれる概算控除,実際に支払った通勤費だけが差し引かれる控除,医療費の合計額がそのまま差し引かれる控除,扶養親族がいる場合だけ差し引かれる控除,給与所得控除は給与所得者の必要経費に相当するものとして給与収入に応じて一定の算式で自動的に控除される仕組みであり個別の領収書集計が不要である点が特徴である。通勤費は非課税限度額の論点で扱われ医療費は医療費控除として別枠で確定申告が必要となる場合がある。扶養親族の有無は扶養控除に関わるが給与所得控除そのものの要件ではない。給与収入からまず給与所得控除を引いて給与所得を求める流れを押さえると税額計算の全体像が整理できる。
482,金融資産運用,株式の配当金を受け取ったときに一般に交付される書類として適切なのはどれ？,配当金支払通知書,固定資産税納税通知書,損益計算書,保険証券,株式の配当を受領すると配当金の額や受取方法等が記載された配当金支払通知書などが交付されるのが一般的である。確定申告や配当課税の取扱いを確認する際にも基礎資料となる。固定資産税納税通知書は不動産課税に関する自治体の書類であり株式配当とは無関係である。損益計算書は企業の財務諸表で投資家に提供されることはあるが配当受領の通知書そのものではない。保険証券は保険契約の証明であり金融商品として別領域である。
483,ライフプランニング,老齢基礎年金を満額受給するための原則として正しいのはどれ？,保険料納付済期間と免除期間などを合算して所定の期間を満たす必要がある,国民年金に1年加入すれば満額になる,厚生年金に加入していれば国民年金の加入期間は不要,年齢に達すれば加入歴がなくても必ず受給できる,老齢基礎年金は所定の受給資格期間を満たしたうえで保険料を納付した期間等に応じて年金額が決まる仕組みである。満額は一定の加入期間全体を通じて保険料を納付した状態を前提とし納付済期間に加え免除期間などは受給資格期間には算入されても年金額は減額要素になり得る点が重要である。短期間加入で満額になるわけではなく加入歴がなければ受給自体が成立しない。基礎年金は全国民共通の土台であり厚生年金加入者も基礎年金部分を含む二階建て構造として理解すると整理しやすい。
484,リスク管理,火災保険で一般に補償対象になりやすい損害として適切なのはどれ？,火災による建物や家財の損害,自動車事故による相手方のケガの賠償,病気で入院した際の給付,投資信託の価格下落による損失,火災保険は火災を中心に落雷や破裂爆発など契約内容に応じた偶然な事故による建物や家財の損害を補償する。自動車事故の対人賠償は自動車保険の領域であり病気入院は医療保険など生命保険系でカバーする。投資信託の価格変動は投資リスクであり保険の損害補償とは性質が異なる。どの保険が何のリスクを対象にしているかを資産と責任と身体の三分類で考えると迷いにくい。
485,不動産,固定資産税の課税標準の基礎として一般に用いられるものはどれ？,固定資産税評価額,取得価額,時価である実勢価格,建物の再調達価格そのもの,固定資産税は市町村が課税主体となり課税標準は原則として固定資産税評価額に基づく。取得価額や実勢価格は参考になることはあっても課税標準として直接使うのが原則ではない点がポイントである。再調達価格は保険評価などで用いられる概念であり税の課税標準とは切り分ける必要がある。納税通知書に記載される評価額や課税標準額の意味を理解しておくと税額の変動理由を説明しやすくなる。
486,相続,遺言書のうち家庭裁判所の検認が原則不要なものとして一般に正しいのはどれ？,公正証書遺言,自筆証書遺言,秘密証書遺言,口頭での遺言,遺言書は形式ごとに作成手続と保管方法が異なり家庭裁判所の検認要否も変わる。公正証書遺言は公証人が関与して作成され原本が公証役場に保管されるため偽造変造のリスクが低く検認は不要とされる。自筆証書遺言や秘密証書遺言は原則として検認手続が必要で相続開始後に勝手に開封すると過料の対象になり得る点が注意事項である。口頭の遺言は原則認められず特別な場合を除き有効性が問題となるため選択肢として不適切である。
487,金融資産運用,債券の価格と市場金利の一般的な関係として正しいのはどれ？,市場金利が上がると既発債券価格は下がりやすい,市場金利が上がると既発債券価格は上がりやすい,市場金利と債券価格には関係がない,市場金利が下がると既発債券価格は下がりやすい,債券は将来の利息と償還金が確定しているため市場金利が上昇すると相対的に既発債券の利回りが見劣りし価格は下落しやすいという逆相関が基本である。反対に市場金利が低下すると既発債券の利回りが相対的に魅力的になり価格は上昇しやすい。ここで重要なのは債券の利回り調整が価格を通じて行われる点であり金利リスクは債券投資の中心論点である。保有目的が満期までか途中売却かで価格変動の影響の受け方が変わる点も併せて理解しておくと実務的である。
488,ライフプランニング,雇用保険の基本手当を受給するための一般的な要件として適切なのはどれ？,働く意思と能力があり求職活動をしている,就職する意思がなくても退職していれば受給できる,自営業を開始していても必ず受給できる,学生であっても在学中は自動的に受給できる,基本手当は失業中の生活を支えつつ再就職を促す制度であるため受給には就職する意思と能力があり積極的に求職活動を行っていることが前提となる。就職意思がなければ失業の状態とみなされず受給要件を満たさない。自営業開始は就職した又は就労した扱いとなる場合があり受給停止や返還のリスクがあるため注意が必要である。在学中の学生は原則として就職意思能力の認定が難しく対象外となることが多い。制度趣旨を理解すると要件問題で迷いにくい。
489,リスク管理,生命保険の受取人を指定する目的として適切なのはどれ？,保険金を受け取る人を明確にして支払先を確定させる,保険料を安くするためだけの手続である,必ず法定相続分どおりに分配させるための手続である,税金を必ずゼロにするための手続である,生命保険は契約で受取人を指定でき保険事故発生時に誰に保険金を支払うかを明確にすることで支払手続を円滑にし遺族の資金確保を確実にする役割を持つ。受取人指定は保険料水準を直接決める要素ではなく保障内容や年齢等が中心となる。受取人は法定相続分と一致させる義務はなく遺産分割とは別枠で扱われることが多い点が実務上の重要ポイントである。税務上は契約形態により課税関係が変わり得るため受取人指定だけで税金が必ずゼロになるわけではない。
490,不動産,不動産取引で売主が宅地建物取引業者で買主が宅地建物取引業者でない場合に適用されやすい制度はどれ？,クーリングオフが条件を満たせば利用できる場合がある,買主は無条件でいつでも解約できる,売主は必ず手付金を返さなくてよい,口頭の契約でも常に有効で書面は不要である,売主が宅地建物取引業者で買主が一般消費者の場合は消費者保護の観点から一定の条件下でクーリングオフが認められることがある。例えば事務所等以外の場所で申込みや契約をした場合など要件があり無条件でいつでも解約できる制度ではない。手付金の扱いも手付解除や違約金の枠組みで決まり一方的に返さなくてよいという整理にはならない。不動産取引では重要事項説明や書面交付が制度上重視され口頭だけで足りるという考え方は原則として適切ではない。要件型の制度であることを押さえると選択肢の切り分けができる。
491,相続,配偶者と子が法定相続人の場合の配偶者の法定相続分は？,2分の1,3分の1,3分の2,全部,配偶者と子が共同相続人のときは配偶者が2分の1で子全体が2分の1を分け合う。子が複数いる場合は子の取り分2分の1を人数で等分する。遺言があれば遺言が優先されるが法定相続分の基準はこの割合になる。
492,不動産,普通借家契約の更新に関する説明として正しいものはどれ？,原則更新があり貸主は正当事由がないと更新拒絶しにくい,更新は一切できず必ず期間満了で終了する,更新は借主の同意がなくても自動的に賃料が2倍になる,更新の有無は法律で定められておらず口約束でも無効,普通借家契約は期間満了で終了する可能性はあるが実務上は更新が前提になりやすい。貸主が更新拒絶や解約申入れをするには正当事由が求められやすく借主保護が強い。一方で定期借家契約は更新がなく期間満了で終了する点が大きく異なる。
493,タックス,住民税が原則として課税対象とする所得はいつの所得？,前年の所得,当年の所得,前々年の所得,翌年の所得,住民税は原則として前年の所得を基に計算され翌年度に課税される。たとえば今年の所得は翌年の住民税算定の基礎になり翌年の6月頃から納付が始まる。所得税は原則当年課税である点と混同しやすい。
494,金融,投資信託の基準価額の説明として正しいものはどれ？,通常は1万口当たりの純資産価額を示す,発行会社の資本金額を示す,必ず1口当たりで表示される,購入時の手数料を含む固定価格で変動しない,基準価額は投資信託が保有する資産の時価から負債を差し引いた純資産を口数で割って算出される指標で日々変動する。日本では慣行として1万口当たりで表示されることが多い。手数料は別途で基準価額そのものに固定的に上乗せされるものではない。
495,ライフプラン,退職所得控除の計算で勤続20年以下の基本部分として正しいものはどれ？,40万円×勤続年数 ただし最低80万円,20万円×勤続年数 ただし最低40万円,100万円×勤続年数 ただし最低200万円,退職金は全額が非課税なので控除計算は不要,退職所得控除は退職金の税負担を軽くするための仕組みで勤続年数に応じて控除額が増える。勤続20年以下は40万円×勤続年数で計算し短期勤続でも一定の配慮として最低80万円が確保される。勤続20年超は計算式が別になり増加の仕方が変わる。
496,リスク,地震保険について正しいものはどれ？,火災保険とセットで付帯して加入する,地震保険は単独で自由に加入できる,地震による火災は火災保険だけで必ず全額補償される,地震保険は保険金が必ず満額支払われる定額保険である,地震による損害は通常の火災保険だけでは補償されないことが多いため地震保険を付帯して備える。地震保険は火災保険に付帯する形が原則で単独加入はできない。損害の程度に応じて支払割合が決まる仕組みで必ず満額という性質ではない。
497,相続,相続放棄の申述が原則として可能な期限はいつまで？,相続開始を知った日から3か月以内,相続開始から1年以内,被相続人の死亡日から7日以内,いつでも可能で期限はない,相続放棄は家庭裁判所へ申述する手続で原則として自己のために相続の開始があったことを知った日から3か月以内に行う。期間内に判断できない事情があれば期間伸長の申立てが検討される。単に何もしないと放棄にはならず原則として相続を承認したものと扱われ得る点が重要。
498,不動産,登記簿の区分で抵当権などの担保権が記録されるのはどれ？,乙区,甲区,表題部,閉鎖登記簿,登記簿は一般に表題部と権利部に分かれ権利部は甲区と乙区に整理される。甲区は所有権に関する事項で所有権移転などが記録される。乙区は抵当権など所有権以外の権利が記録されるため担保権は乙区で確認する。
499,タックス,社会保険料控除の控除対象として正しいものはどれ？,支払った社会保険料は原則として全額が所得控除になる,社会保険料控除は上限が一律10万円である,社会保険料控除は配偶者分は一切控除できない,社会保険料控除は税額控除なので所得からは差し引かない,社会保険料控除は健康保険や厚生年金など一定の社会保険料を支払った場合に所得から差し引ける所得控除で原則として支払額の全額が対象になる。本人分だけでなく生計を一にする配偶者や親族の分を負担して支払った場合に控除できることもある。税額控除ではなく課税所得を減らす仕組みである。
500,金融,外貨預金の為替変動リスクとして正しい説明はどれ？,円高になると円に換算した受取額が減りやすい,円高になると円に換算した受取額が増えやすい,為替変動は外貨預金に影響せず利息だけが変動する,外貨預金は元本が円で保証され為替損は発生しない,外貨預金は外貨での元本は同じでも円に換算すると為替レートで価値が変わる。円高は外貨の円換算価値を押し下げるため円に戻すと元本割れのように見えることがある。逆に円安なら円換算額が増えやすいが手数料やスプレッドも踏まえて判断する必要がある。
501,相続,相続税の申告と納付の期限として正しいものはどれ？,相続開始の日の翌日から10か月以内,相続開始の日の翌日から3か月以内,相続開始の日から1年以内,被相続人の死亡日から30日以内,相続税は原則として被相続人が亡くなった日つまり相続開始の日の翌日から10か月以内に申告と納付を行う。相続放棄や限定承認の熟慮期間は原則3か月であり期限が異なるため混同しやすい。期限を過ぎると延滞税や加算税の対象になり得る。
502,不動産,建ぺい率の説明として正しいものはどれ？,敷地面積に対する建築面積の割合,敷地面積に対する延べ面積の割合,延べ面積に対する建築面積の割合,建築面積に対する敷地面積の割合,建ぺい率は敷地に対して建物がどれだけ覆うかを示す指標で建築面積を敷地面積で割って算出する。延べ面積を用いるのは容積率であり両者は用途と計算が異なる。防災や日照などの観点で地域ごとに上限が定められている。
503,タックス,医療費控除の控除対象に含められる支出として正しいものはどれ？,生計を一にする配偶者や親族の医療費を負担して支払った分,自分の健康維持のためのサプリ購入費,美容目的の施術費,病気予防のための任意の健康診断費,医療費控除は本人だけでなく生計を一にする配偶者や親族の医療費を負担して支払った場合も対象になり得る。対象は治療に直接必要な医療費が中心であり健康維持や美容目的などは原則として対象外になる。保険金などで補てんされた分は差し引いて計算する。
504,金融,一般に市場金利が上昇した場合の債券価格の動きとして正しいものはどれ？,債券価格は下落しやすい,債券価格は上昇しやすい,債券価格は必ず変わらない,債券価格は満期まで常に額面で固定される,債券の利率が市場金利より低くなると投資家は同程度の利回りを得るために債券を安く買おうとするため価格は下がりやすい。逆に市場金利が低下すると既存債券の相対的な魅力が増し価格は上がりやすい。金利と債券価格は一般に逆方向に動く関係として押さえる。
505,リスク,自動車保険の対人賠償保険が補償するものとして正しいものはどれ？,相手方の死傷に対する損害賠償,自分の車の修理費用,自分のけがの治療費,搭乗者以外の物の損害賠償,対人賠償保険は事故で他人を死傷させた場合に法律上負担する損害賠償責任を補償する。物の損害は対物賠償保険で扱い自分の車の損害は車両保険自分のけがは人身傷害や搭乗者傷害など別の補償が中心になる。補償範囲の切り分けが重要。
506,ライフプラン,老齢基礎年金を受け取るための受給資格期間として正しいものはどれ？,10年以上,5年以上,15年以上,25年以上,老齢基礎年金は保険料を納めた期間や免除期間などを合算した受給資格期間が10年以上あることが原則要件になる。満額受給には原則40年相当の期間が関係するが受給そのものの入口条件は10年である。期間にはカラ期間など一定の算入ルールがあるため実務では内訳確認が必要。
507,相続,代襲相続が起こる代表例として正しいものはどれ？,子が相続開始以前に死亡している場合に孫が相続人になる,配偶者が再婚した場合に前配偶者が相続人になる,兄弟姉妹が生存しているときに必ず甥姪が相続人になる,相続放棄をした相続人の配偶者が自動的に相続人になる,代襲相続は本来相続人となるはずの子などが相続開始前に死亡している場合などにその直系卑属が代わって相続人になる仕組みである。典型は子が先に死亡し孫が相続するケース。相続放棄は放棄者が初めから相続人でなかった扱いになるため代襲とは別の整理になる。
508,不動産,分譲マンションで管理費と修繕積立金の説明として正しいものはどれ？,管理費は日常管理の費用で修繕積立金は将来の大規模修繕に備える,管理費は将来修繕の積立で修繕積立金は日常清掃費である,どちらも用途は同じで区別なく自由に使える,修繕積立金は必ず毎年全額が返金される,管理費は共用部の清掃や管理員費用など日常の維持管理に充てられる。修繕積立金は外壁や屋上防水など将来の大規模修繕に備えて計画的に積み立てる資金で目的が異なる。長期修繕計画や積立水準が不足すると将来の一時金負担や値上げにつながるため確認が重要。
509,タックス,住宅借入金等特別控除の性質として正しいものはどれ？,税額控除である,所得控除である,損益通算である,課税標準の計算に影響しない単なる非課税措置である,住宅借入金等特別控除は一定要件を満たす住宅ローンを利用して居住した場合に所得税などから一定額を差し引く仕組みで税額控除に分類される。所得控除は課税所得を減らす仕組みだが税額控除は算出された税額から直接差し引くため効果の出方が異なる。適用には居住や床面積などの要件確認が必要。
510,金融,NISA口座に関する説明として正しいものはどれ？,一定の投資で得た配当や譲渡益が非課税になる,投資で生じた損失を必ず給与所得と通算できる,預金利息がすべて非課税になる制度である,どの金融商品でも無制限に非課税で保有できる,NISAは一定の投資枠の範囲で株式や投資信託などから生じる配当や分配金や売却益が非課税になる制度である。一方でNISA口座の損失は原則として損益通算や繰越控除の対象にならないため課税口座と取り扱いが異なる。対象商品や投資枠などの制度条件を理解した上で使い分ける必要がある。
